project_title,business_description,team_size,avg_team_experience,technical_skill_score,business_skill_score,market_size_usd,market_growth_rate,competition_level,project_domain,innovation_type,funding_stage,education_level,social_media_mentions,user_interest_score,mentor_feedback_score,competitiveness_score,competitiveness_class
Fitness Tracking and Recommendation App,"An event management platform that automates planning, scheduling, and coordination of events.",6,0.41,3,5,7355160,24.88,2,AI,Disruptive,Idea,PG,1778,39,8,32.16,Low
Fitness Tracking and Recommendation App,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",5,4.64,3,1,8757583,24.3,1,AI,Disruptive,Prototype,PhD,1738,66,5,22.38,Low
E-Learning Personalization Engine,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,3,4.13,2,2,9439730,15.54,1,AI,Incremental,Prototype,PG,3665,69,3,14.69,Low
AI Chatbot for Customer Service,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,3,0.31,6,2,8155967,6.81,5,HealthTech,Incremental,MVP,PG,3965,40,9,31.56,Low
Smart Waste Management Solution,A fitness application that tracks user activity and provides personalized workout and health recommendations.,1,3.09,6,6,6957020,14.22,5,AI,Incremental,Prototype,PG,2425,49,6,25.42,Low
Sustainable Agriculture Analytics Tool,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,1,2.55,10,10,2928079,14.11,7,AgriTech,Incremental,MVP,PhD,2932,49,7,30.8,Low
AI-Powered Fraud Detection System,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,6,3.17,7,6,4964034,15.61,9,HealthTech,Disruptive,Idea,UG,833,98,3,17.98,Low
Cloud-Based Business Intelligence Platform,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,6,1.22,10,3,9493587,24.95,6,AgriTech,Disruptive,Prototype,PG,3548,65,3,19.19,Low
AI-Powered Fraud Detection System,An AI-based fraud detection system that identifies suspicious financial activities in real time.,6,2.52,10,1,1092536,10.66,2,HealthTech,Incremental,Prototype,UG,331,60,9,33.63,Low
AI-Powered Fraud Detection System,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,1,3.12,2,3,1774885,21.51,2,EdTech,Disruptive,Idea,UG,1079,21,7,27.22,Low
Online Event Management Platform,An AI-based fraud detection system that identifies suspicious financial activities in real time.,3,0.24,9,4,4443945,5.26,1,EdTech,Disruptive,Prototype,PG,22,41,10,35.77,Low
Fitness Tracking and Recommendation App,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,4,1.48,7,1,7188525,13.73,7,E-commerce,Incremental,Prototype,PhD,2645,69,9,33.53,Low
Smart Healthcare Monitoring Platform,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,4,0.38,10,6,5674058,5.38,2,EdTech,Disruptive,Prototype,PG,1392,57,9,34.02,Low
Online Mental Health Support Platform,"An event management platform that automates planning, scheduling, and coordination of events.",4,1.67,4,4,9467713,0.41,8,EdTech,Incremental,Prototype,PG,3377,93,8,28.34,Low
Blockchain-Powered Digital Payments,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,6,4.93,5,6,431806,4.87,8,AI,Disruptive,MVP,PG,4350,64,7,26.55,Low
IoT Smart Home Automation Solution,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,1,0.62,1,8,7313203,18.63,7,EdTech,Incremental,MVP,UG,1613,55,9,34.53,Low
AI Chatbot for Customer Service,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,5,1.92,3,6,1243801,0.67,4,AgriTech,Disruptive,Idea,PG,797,11,3,12.05,Low
IoT Smart Home Automation Solution,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,3,1.29,9,4,3249757,16.12,8,AI,Disruptive,Idea,PG,1367,80,10,38.72,Low
Digital Marketplace for Local Businesses,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,6,0.51,7,3,7867243,11.39,8,FinTech,Incremental,Idea,PG,1114,60,9,33.48,Low
Virtual Reality Learning Environment,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,4,1.03,6,7,6367003,21.15,6,HealthTech,Disruptive,Idea,PhD,4633,86,10,39.85,Low
AI Resume Screening Tool,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,6,0.97,2,8,8674606,13.38,6,HealthTech,Disruptive,Prototype,PG,505,2,8,29.72,Low
Autonomous Delivery Drone System,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,3,1.92,6,1,9465228,0.19,1,AI,Incremental,Idea,PhD,4979,55,5,18.24,Low
Digital Marketplace for Local Businesses,"An event management platform that automates planning, scheduling, and coordination of events.",6,4.44,10,4,6606482,18.59,8,AgriTech,Incremental,Prototype,PhD,3294,15,6,26.22,Low
AI-Based Crop Monitoring System,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,1,0.46,2,9,2065281,10.43,9,AI,Disruptive,MVP,PhD,210,20,1,8.79,Low
Online Mental Health Support Platform,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,3,3.97,7,7,4557045,2.09,8,EdTech,Disruptive,Prototype,UG,4607,43,10,35.48,Low
Sustainable Agriculture Analytics Tool,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,1,3.24,4,8,2932889,15.03,6,FinTech,Incremental,MVP,PhD,3371,92,4,20.45,Low
Personalized Nutrition Recommendation System,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,1,0.56,9,7,7709150,19.16,2,AgriTech,Incremental,MVP,PG,256,61,3,18.85,Low
Blockchain-Powered Digital Payments,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,5,1.92,4,4,5472186,1.78,7,AI,Disruptive,Prototype,PG,636,67,7,25.1,Low
AI-Based Crop Monitoring System,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,4,4.49,8,9,5544069,18.33,1,HealthTech,Disruptive,Prototype,PG,2169,4,1,11.85,Low
Smart Healthcare Monitoring Platform,A fitness application that tracks user activity and provides personalized workout and health recommendations.,6,4.28,9,10,7195922,19.18,1,AI,Disruptive,Prototype,PhD,1909,22,7,30.98,Low
AI Chatbot for Customer Service,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,2,1.15,4,5,5374658,22.95,7,FinTech,Incremental,Prototype,UG,696,28,5,22.85,Low
Smart Waste Management Solution,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,4,2.35,3,4,708638,7.4,10,HealthTech,Disruptive,Idea,UG,3729,89,5,20.36,Low
Fitness Tracking and Recommendation App,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,5,3.75,4,2,5162499,20.81,6,AgriTech,Incremental,Prototype,PhD,785,91,8,31.78,Low
AI Resume Screening Tool,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,5,1.58,7,3,814993,16.44,8,EdTech,Incremental,Idea,PhD,263,63,4,19.55,Low
Autonomous Delivery Drone System,A fitness application that tracks user activity and provides personalized workout and health recommendations.,5,0.76,1,8,7237349,5.19,2,EdTech,Incremental,Idea,PG,937,7,10,33.88,Low
Smart Traffic Management System,A fitness application that tracks user activity and provides personalized workout and health recommendations.,6,0.37,6,10,7550128,23.3,10,AgriTech,Incremental,Prototype,UG,4131,17,2,15.8,Low
Digital Marketplace for Local Businesses,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,1,3.82,6,4,1176602,20.91,10,EdTech,Disruptive,Idea,PhD,484,91,8,33.0,Low
Automated Financial Advisory System,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,3,3.63,6,3,7573046,19.47,6,EdTech,Disruptive,Prototype,PhD,815,89,9,35.37,Low
Virtual Reality Learning Environment,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,1,2.04,9,10,9420634,12.46,5,AI,Incremental,Idea,PG,4062,54,5,24.27,Low
IoT Smart Home Automation Solution,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,5,1.72,1,1,9102802,20.32,1,AgriTech,Incremental,Idea,PhD,4383,87,10,36.4,Low
IoT Smart Home Automation Solution,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,6,3.36,1,9,5211476,6.48,6,EdTech,Incremental,MVP,PG,750,59,3,14.48,Low
Smart Waste Management Solution,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,3,2.75,7,3,5977155,19.56,9,EdTech,Incremental,Prototype,UG,1577,73,2,14.37,Low
Virtual Reality Learning Environment,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,5,0.91,6,10,5002793,12.41,10,AgriTech,Incremental,Idea,PG,2328,57,6,26.42,Low
Automated Financial Advisory System,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,2,1.26,2,3,153289,7.85,10,EdTech,Disruptive,Prototype,UG,4819,71,7,25.49,Low
AI Resume Screening Tool,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",1,4.77,3,6,6225390,12.75,4,AgriTech,Incremental,Prototype,UG,388,67,3,15.59,Low
AI Chatbot for Customer Service,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,1,4.06,1,9,950858,9.68,10,EdTech,Disruptive,MVP,UG,3849,87,5,21.68,Low
AI Resume Screening Tool,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,2,1.95,6,2,9310409,3.71,10,AgriTech,Disruptive,Idea,PG,4486,45,6,22.04,Low
Sustainable Agriculture Analytics Tool,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,3,1.11,5,5,3233235,8.49,8,AI,Incremental,Idea,PG,2533,75,2,12.2,Low
IoT Smart Home Automation Solution,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,2,1.42,1,3,9947040,2.52,1,FinTech,Disruptive,Prototype,UG,1807,75,6,21.2,Low
Automated Financial Advisory System,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,6,2.16,2,6,3209699,17.96,6,AI,Incremental,MVP,UG,460,81,8,31.61,Low
Virtual Reality Learning Environment,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,3,1.31,2,10,4500101,14.8,2,FinTech,Incremental,Idea,PG,4356,17,8,30.9,Low
Personalized Nutrition Recommendation System,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,6,4.04,8,10,4992332,8.42,7,AI,Disruptive,Idea,PhD,2914,61,4,20.3,Low
Personalized Nutrition Recommendation System,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",1,1.41,10,10,6376918,7.38,4,E-commerce,Incremental,Idea,PG,3674,11,10,37.7,Low
IoT Smart Home Automation Solution,A fitness application that tracks user activity and provides personalized workout and health recommendations.,1,3.59,10,6,7681814,6.14,4,HealthTech,Incremental,Idea,PhD,651,55,4,19.13,Low
E-Learning Personalization Engine,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,2,4.33,2,1,2450473,4.58,1,HealthTech,Disruptive,MVP,UG,2792,36,9,29.54,Low
Cloud-Based Business Intelligence Platform,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,5,3.31,5,10,5308928,20.9,7,AgriTech,Incremental,Idea,PG,2775,55,8,33.78,Low
Digital Marketplace for Local Businesses,An AI-based fraud detection system that identifies suspicious financial activities in real time.,3,0.06,9,10,9837584,8.54,10,AgriTech,Disruptive,Idea,PG,1257,9,2,13.59,Low
IoT Smart Home Automation Solution,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,2,0.32,5,6,3126504,19.81,3,E-commerce,Disruptive,Prototype,UG,173,75,3,17.76,Low
Smart Waste Management Solution,A fitness application that tracks user activity and provides personalized workout and health recommendations.,1,2.31,5,7,3462610,19.24,6,FinTech,Disruptive,Idea,PG,4331,76,6,26.97,Low
AI-Based Crop Monitoring System,"An event management platform that automates planning, scheduling, and coordination of events.",6,2.7,3,5,8514714,7.19,5,AI,Disruptive,Prototype,UG,567,7,3,12.98,Low
Digital Marketplace for Local Businesses,A fitness application that tracks user activity and provides personalized workout and health recommendations.,2,0.63,5,5,2500829,24.41,8,FinTech,Disruptive,Idea,UG,4732,6,6,26.0,Low
